date,day_of_week,total_patients,male_patients,female_patients,children_patients,adult_patients,elderly_patients,fever_cases,cough_cases,diarrhea_cases,vomiting_cases,skin_rash_cases,animal_bite_cases,paracetamol_used,antibiotics_used,ors_packets_used,malaria_kits_used,temperature,rainfall,humidity
2015-01-01,Thursday,32,17,15,4,25,3,7,2,1,0,0,0,8,2,0,0,29.5,0,48
2015-01-02,Friday,45,22,23,7,32,6,9,8,2,1,1,0,10,7,1,0,23.9,0,51
2015-01-03,Saturday,40,20,20,7,29,4,6,4,2,1,1,0,5,4,1,0,28.1,0,44
2015-01-04,Sunday,47,21,26,8,33,6,6,5,2,1,1,0,5,5,2,0,27.7,0,60
2015-01-05,Monday,38,18,20,8,26,4,7,1,1,0,0,0,8,2,1,0,25.8,0,74
2015-01-06,Tuesday,38,20,18,8,25,5,8,5,1,0,1,0,6,3,0,0,26.0,0,56
2015-01-07,Wednesday,35,18,17,5,26,4,7,3,1,0,1,0,5,2,0,0,29.6,0,74
2015-01-08,Thursday,30,15,15,6,22,2,6,3,1,0,1,0,5,1,0,0,27.9,1,40
2015-01-09,Friday,42,22,20,8,29,5,7,4,2,1,1,1,8,2,1,0,25.6,0,47
2015-01-10,Saturday,42,21,21,9,27,6,8,6,2,1,1,0,8,3,1,0,26.7,0,61
2015-01-11,Sunday,43,21,22,8,30,5,6,7,2,1,1,0,4,6,2,0,24.4,0,57
2015-01-12,Monday,45,20,25,9,30,6,10,7,2,1,0,0,10,6,1,0,27.8,0,57
2015-01-13,Tuesday,55,27,28,10,38,7,11,8,2,1,2,0,9,5,1,0,29.9,0,59
2015-01-14,Wednesday,31,16,15,6,22,3,7,5,1,0,0,1,6,3,1,0,26.8,0,57
2015-01-15,Thursday,29,15,14,6,20,3,5,2,1,0,1,0,4,3,1,0,29.2,0,47
2015-01-16,Friday,33,15,18,6,23,4,7,5,1,0,0,1,7,5,1,0,31.3,0,61
2015-01-17,Saturday,28,13,15,5,20,3,4,1,1,0,0,0,3,1,0,0,28.0,1,55
2015-01-18,Sunday,36,16,20,6,26,4,8,5,1,0,0,0,8,3,0,0,29.0,2,56
2015-01-19,Monday,24,11,13,5,16,3,3,2,1,0,0,1,2,1,1,0,28.0,0,49
2015-01-20,Tuesday,42,20,22,6,32,4,4,4,2,1,2,0,4,2,2,0,30.5,0,44
2015-01-21,Wednesday,37,19,18,5,28,4,4,5,1,0,0,2,4,3,1,0,27.7,0,45
2015-01-22,Thursday,25,13,12,6,17,2,4,2,1,0,0,0,3,1,0,0,29.7,1,47
2015-01-23,Friday,40,21,19,8,29,3,9,3,2,1,1,2,9,2,2,0,29.7,0,66
2015-01-24,Saturday,32,15,17,5,24,3,3,5,1,0,0,1,3,2,0,0,23.9,1,73
2015-01-25,Sunday,28,12,16,4,21,3,6,3,1,0,0,0,6,2,0,0,23.7,0,68
2015-01-26,Monday,31,14,17,6,22,3,7,1,1,0,1,0,7,2,0,0,26.6,0,65
2015-01-27,Tuesday,37,17,20,6,26,5,7,3,1,0,1,0,6,3,0,0,26.7,0,65
2015-01-28,Wednesday,40,19,21,8,27,5,8,5,2,1,0,0,9,3,1,0,26.9,0,48
2015-01-29,Thursday,25,12,13,6,16,3,5,1,1,0,0,0,4,2,0,0,26.4,0,51
2015-01-30,Friday,37,18,19,5,28,4,8,6,1,0,1,0,9,5,1,0,27.4,0,63
2015-01-31,Saturday,33,17,16,7,22,4,5,5,1,0,0,0,5,4,0,0,29.2,2,65
2015-02-01,Sunday,28,12,16,4,21,3,4,4,1,0,0,0,3,3,1,0,26.8,1,73
2015-02-02,Monday,36,18,18,7,26,3,4,2,1,0,0,0,4,1,0,0,27.1,1,56
2015-02-03,Tuesday,33,17,16,6,23,4,4,3,1,0,1,0,4,3,0,0,23.4,0,59
2015-02-04,Wednesday,37,20,17,8,25,4,6,5,1,0,1,0,5,5,0,0,27.4,1,60
2015-02-05,Thursday,42,21,21,8,29,5,6,6,2,1,0,0,6,5,1,0,28.5,0,41
2015-02-06,Friday,32,16,16,7,22,3,5,2,1,0,1,0,4,2,0,0,24.6,0,44
2015-02-07,Saturday,35,18,17,8,23,4,5,2,1,0,0,0,4,2,1,0,24.6,0,50
2015-02-08,Sunday,32,14,18,6,24,2,5,3,1,0,0,0,5,2,1,0,25.4,0,46
2015-02-09,Monday,42,21,21,6,31,5,10,4,2,1,0,0,11,3,2,0,26.1,0,74
